Sr_No,Contact,Paper,Link,Google_Scholar_Link,Year,Author_Names,Citation,
60,Daniel Grzenda,Deep Model Merging: The Sister of Neural Network Interpretability--A Survey,https://arxiv.org/abs/2410.12927,https://scholar.google.com/citations?hl=en&user=mB3oEmEAAAAJ&view_op=list_works&sortby=pubdate,2024,"Khan, A., Nief, T., Hudson, N., Sakravadia, M., Grzenda, D., Ajith, A., Pettyjohn, J., Chard, K., & Foster, I.","Khan, A., Nief, T., Hudson, N., Sakravadia, M., Grzenda, D., Ajith, A., Pettyjohn, J., Chard, K., & Foster, I. (2024). Deep model merging: The sister of neural network interpretability—A survey. arXiv preprint arXiv:2410.12927.",FALSE
61,Daniel Grzenda,Sok: On finding common ground in loss landscapes using deep model merging techniques,https://ui.adsabs.harvard.edu/abs/2024arXiv241012927K/abstract,https://scholar.google.com/citations?hl=en&user=mB3oEmEAAAAJ&view_op=list_works&sortby=pubdate,2024,"Khan, A., Nief, T., Hudson, N., Sakarvadia, M., Grzenda, D., Ajith, A., Pettyjohn, J., Chard, K., & Foster, I.","Khan, A., Nief, T., Hudson, N., Sakarvadia, M., Grzenda, D., Ajith, A., Pettyjohn, J., Chard, K., & Foster, I. (2024). Sok: On finding common ground in loss landscapes using deep model merging techniques. arXiv e-prints, arXiv:2410.12927.",TRUE
62,Daniel Grzenda,An Empirical Investigation of Container Building Strategies and Warm Times to Reduce Cold Starts in Scientific Computing Serverless Functions,https://ieeexplore.ieee.org/abstract/document/10678668,https://scholar.google.com/citations?hl=en&user=mB3oEmEAAAAJ&view_op=list_works&sortby=pubdate,2024,"Bauer, A., Gonthier, M., Pan, H., Chard, R., Grzenda, D., Straesser, M., Pauloski, J. G., Kamatar, A., Baughman, M., Hudson, N., Foster, I., & Chard, K.","Bauer, A., Gonthier, M., Pan, H., Chard, R., Grzenda, D., Straesser, M., Pauloski, J. G., Kamatar, A., Baughman, M., Hudson, N., Foster, I., & Chard, K. (2024). An empirical investigation of container building strategies and warm times to reduce cold starts in scientific computing serverless functions. 2024 IEEE 20th International Conference on e-Science (e-Science), 1–10. IEEE.",TRUE
63,Georgeta-Cristina Garbacea,HyPerAlign: Interpretable Personalized LLM Alignment via Hypothesis Generation,https://arxiv.org/abs/2505.00038,https://scholar.google.com/citations?user=302eGI0AAAAJ&hl=en,2025,"Garbacea, C., & Tan, C.","Garbacea, C., & Tan, C. (2025). HyPerAlign: Interpretable personalized LLM alignment via hypothesis generation. arXiv preprint arXiv:2505.00038.",FALSE
64,Georgeta-Cristina Garbacea,Evaluating the Goal-Directedness of Large Language Models,https://arxiv.org/abs/2504.11844,https://scholar.google.com/citations?user=302eGI0AAAAJ&hl=en,2025,"Everitt, T., Garbacea, C., Bellot, A., Richens, J., Papadatos, H., Campos, S., & Shah, R.","Everitt, T., Garbacea, C., Bellot, A., Richens, J., Papadatos, H., Campos, S., & Shah, R. (2025). Evaluating the goal-directedness of large language models. arXiv preprint arXiv:2504.11844.",FALSE
65,Kiho Park,The linear representation hypothesis and the geometry of large language models,https://arxiv.org/abs/2311.03658,google.com/url?q=https://scholar.google.com/citations?hl%3Den%26user%3Df4HcMx8AAAAJ%26view_op%3Dlist_works%26sortby%3Dpubdate&sa=D&source=editors&ust=1757574591790232&usg=AOvVaw2f72OtXeLpSRzLMVqpg6wH,2024,"Park, K., Choe, Y. J., & Veitch, V.","Park, K., Choe, Y. J., & Veitch, V. (2024). The linear representation hypothesis and the geometry of large language models. Proceedings of the 41st International Conference on Machine Learning (ICML 2024). arXiv:2311.03658.",TRUE
66,Will Gao,Latent intrinsics emerge from training to relight,https://proceedings.neurips.cc/paper_files/paper/2024/hash/af79bcbd1d229a527c8f10d8d41c589d-Abstract-Conference.html,https://scholar.google.com/citations?user=SacEpXoAAAAJ&hl=en,2024,"Zhang, X., Gao, W., Jain, S., Maire, M., Forsyth, D., & Bhattad, A.","Zhang, X., Gao, W., Jain, S., Maire, M., Forsyth, D., & Bhattad, A. (2024). Latent intrinsics emerge from training to relight. Advances in Neural Information Processing Systems, 37, 96775–96796.",TRUE
67,Will Gao,Residual connections harm self-supervised abstract feature learning,https://openreview.net/forum?id=ZkboHj8miv,https://scholar.google.com/citations?user=SacEpXoAAAAJ&hl=en,2024,"Zhang, X., Jiang, R., Gao, W., Willett, R., & Maire, M.","Zhang, X., Jiang, R., Gao, W., Willett, R., & Maire, M. (2024). Residual connections harm self-supervised abstract feature learning. CoRR. arXiv:2404.10947.",TRUE
68,Rebecca Willett,Data assimilation with machine learning surrogate models: A case study with FourCastNet,https://journals.ametsoc.org/view/journals/aies/4/3/AIES-D-24-0050.1.xml,https://scholar.google.com/citations?hl=en&user=bGRVPl8AAAAJ&view_op=list_works&sortby=pubdate,2025,"Adrian, M., Sanz-Alonso, D., & Willett, R.","Adrian, M., Sanz-Alonso, D., & Willett, R. (2025). Data assimilation with machine learning surrogate models: A case study with FourCastNet. Artificial Intelligence for the Earth Systems, 4(3), e240050. American Meteorological Society.",TRUE
69,Ari Holtzman,Linearly Decoding Refused Knowledge in Aligned Language Models,https://arxiv.org/abs/2507.00239,https://scholar.google.com/citations?hl=en&user=jtrAdywAAAAJ&view_op=list_works&sortby=pubdate,2025,"Shrivastava, A., & Holtzman, A.","Shrivastava, A., & Holtzman, A. (2025). Linearly decoding refused knowledge in aligned language models. arXiv preprint arXiv:2507.00239.",FALSE
70,Ari Holtzman,AbsenceBench: Language Models Can't Tell What's Missing,https://arxiv.org/abs/2506.11440,https://scholar.google.com/citations?hl=en&user=jtrAdywAAAAJ&view_op=list_works&sortby=pubdate,2025,"Fu, H. Y., Shrivastava, A., Moore, J., West, P., Tan, C., & Holtzman, A.","Fu, H. Y., Shrivastava, A., Moore, J., West, P., Tan, C., & Holtzman, A. (2025). AbsenceBench: Language models can’t tell what’s missing. CoRR. arXiv:2506.11440.",FALSE
71,Yichen (Zach) Wang,Unraveling Misinformation Propagation in LLM Reasoning,https://arxiv.org/abs/2505.18555,https://scholar.google.com/citations?hl=en&user=86XiOcsAAAAJ&view_op=list_works&sortby=pubdate,2025,"Feng, Y., Wang, Y., Cui, S., Faltings, B., Lee, M., & Zhou, J.","Feng, Y., Wang, Y., Cui, S., Faltings, B., Lee, M., & Zhou, J. (2025). Unraveling misinformation propagation in LLM reasoning. CoRR. arXiv:2505.18555.",FALSE
72,Junsol Kim,Linear representations of political perspective emerge in large language models,https://arxiv.org/abs/2503.02080,https://scholar.google.com/citations?hl=en&user=O__9HOwAAAAJ&view_op=list_works&sortby=pubdate,2025,"Kim, J., Evans, J., & Schein, A.","Kim, J., Evans, J., & Schein, A. (2025). Linear representations of political perspective emerge in large language models. In Proceedings of the International Conference on Learning Representations (ICLR 2025, Oral). arXiv:2503.02080.",TRUE
73,Yuan Chang Leong,Emotional arousal enhances narrative memories through functional integration of large-scale brain networks,https://www.biorxiv.org/content/10.1101/2025.03.13.643125v2.abstract,https://scholar.google.com/citations?hl=en&user=An2VxEwAAAAJ&view_op=list_works&sortby=pubdate,2025,"Park, J. S., Gollapudi, K., Ke, J., Nau, M., Pappas, I., & Leong, Y. C.","Park, J. S., Gollapudi, K., Ke, J., Nau, M., Pappas, I., & Leong, Y. C. (2025). Emotional arousal enhances narrative memories through functional integration of large-scale brain networks. bioRxiv, 2025.03.13.643125.",TRUE
74,Yuan Chang Leong,Automated scoring of the Ambiguous Intentions Hostility Questionnaire using fine-tuned large language models.,https://arxiv.org/abs/2508.10007,https://scholar.google.com/citations?hl=en&user=An2VxEwAAAAJ&view_op=list_works&sortby=pubdate,2025,"Lyu, Y., Combs, D., Neumann, D., & Leong, Y. C.","Lyu, Y., Combs, D., Neumann, D., & Leong, Y. C. (2025). Automated scoring of the Ambiguous Intentions Hostility Questionnaire using fine-tuned large language models. arXiv preprint arXiv:2508.10007.",FALSE
75,Yuan Chang Leong,A Multimodal Seq2Seq Transformer for Predicting Brain Responses to Naturalistic Stimuli,https://arxiv.org/abs/2507.18104,https://scholar.google.com/citations?hl=en&user=An2VxEwAAAAJ&view_op=list_works&sortby=pubdate,2025,"He, Q., & Leong, Y. C.","He, Q., & Leong, Y. C. (2025). A multimodal Seq2Seq Transformer for predicting brain responses to naturalistic stimuli. arXiv preprint arXiv:2507.18104.",FALSE
76,Yuan Chang Leong,Predicting whole-brain neural dynamics from prefrontal cortex functional near-infrared spectroscopy signal during movie-watching,https://academic.oup.com/scan/article/20/1/nsaf043/8123738,https://scholar.google.com/citations?hl=en&user=An2VxEwAAAAJ&view_op=list_works&sortby=pubdate,2025,"Gao, S., Nash, R., Burns, S., & Leong, Y. C.","Gao, S., Nash, R., Burns, S., & Leong, Y. C. (2025). Predicting whole-brain neural dynamics from prefrontal cortex functional near-infrared spectroscopy signal during movie-watching. Social Cognitive and Affective Neuroscience, 20(1), nsaf043. Oxford University Press.",TRUE
77,Yuan Chang Leong,Humans and convolutional neural networks prioritize similar visual features in intuitive physics judgments,https://escholarship.org/uc/item/78c4g1kn,https://scholar.google.com/citations?hl=en&user=An2VxEwAAAAJ&view_op=list_works&sortby=pubdate,2025,"Calabro, R., Bhattacharyya, K., Bainbridge, W., & Leong, Y. C.","Calabro, R., Bhattacharyya, K., Bainbridge, W., & Leong, Y. C. (2025). Humans and convolutional neural networks prioritize similar visual features in intuitive physics judgments. Proceedings of the Annual Meeting of the Cognitive Science Society, 47.",TRUE
78,Yuan Chang Leong,Hostile attribution bias shapes neural synchrony in the left ventromedial prefrontal cortex during ambiguous social narratives,https://www.jneurosci.org/content/44/9/e1252232024.abstract,https://scholar.google.com/citations?hl=en&user=An2VxEwAAAAJ&view_op=list_works&sortby=pubdate,2024,"Lyu, Y., Su, Z., Neumann, D., Meidenbauer, K. L., & Leong, Y. C.","Lyu, Y., Su, Z., Neumann, D., Meidenbauer, K. L., & Leong, Y. C. (2024). Hostile attribution bias shapes neural synchrony in the left ventromedial prefrontal cortex during ambiguous social narratives. Journal of Neuroscience, 44(9). Society for Neuroscience.",TRUE
79,Zihao Wang,Does Editing Provide Evidence for Localization?,https://openreview.net/pdf?id=oZXcwWTCfe,,2024,"Wang, Z., & Veitch, V.","Wang, Z., & Veitch, V. (2024). Does editing provide evidence for localization? ICML 2024 Workshop on Mechanistic Interpretability. OpenReview.",TRUE
80,Zihao Wang,A Unified Causal View of Domain Invariant Representation Learning,https://arxiv.org/abs/2208.06987,,2022,"Wang, Z., & Veitch, V.","Wang, Z., & Veitch, V. (2022). A unified causal view of domain invariant representation learning. arXiv preprint arXiv:2208.06987.",FALSE
81,Sean O'Hagan,Tree Bandits for Generative Bayes,https://arxiv.org/abs/2404.10436,https://scholar.google.com/citations?hl=en&user=XZtvs7YAAAAJ&view_op=list_works&sortby=pubdate,2024,"O'Hagan, S., Kim, J., & Rockova, V.","O'Hagan, S., Kim, J., & Rockova, V. (2024). Tree bandits for generative Bayes. arXiv preprint arXiv:2404.10436.",FALSE
82,Sean O'Hagan,Measurement in the age of llms: An application to ideological scaling,https://arxiv.org/abs/2312.09203,https://scholar.google.com/citations?hl=en&user=XZtvs7YAAAAJ&view_op=list_works&sortby=pubdate,2023,"O’Hagan, S., & Schein, A.","O’Hagan, S., & Schein, A. (2023). Measurement in the age of llms: An application to ideological scaling. arXiv preprint arXiv:2312.09203.",FALSE
83,Tian Li,Efficient Distributed Optimization under Heavy-Tailed Noise,https://arxiv.org/abs/2502.04164,https://scholar.google.com/citations?hl=en&user=8JWoJrAAAAAJ&view_op=list_works&sortby=pubdate,2025,"Lee, S. H., Zaheer, M., & Li, T.","Lee, S. H., Zaheer, M., & Li, T. (2025). Efficient distributed optimization under heavy-tailed noise. arXiv preprint arXiv:2502.04164.",FALSE
84,Tian Li,Tilted Sharpness-Aware Minimization,https://arxiv.org/abs/2410.22656,https://scholar.google.com/citations?hl=en&user=8JWoJrAAAAAJ&view_op=list_works&sortby=pubdate,2024,"Li, T., Zhou, T., & Bilmes, J. A.","Li, T., Zhou, T., & Bilmes, J. A. (2024). Tilted sharpness-aware minimization. arXiv preprint arXiv:2410.22656.",FALSE
85,Tian Li,Efficient adaptive federated optimization,https://arxiv.org/abs/2410.18117,https://scholar.google.com/citations?hl=en&user=8JWoJrAAAAAJ&view_op=list_works&sortby=pubdate,2024,"Lee, S. H., Sharma, S., Zaheer, M., & Li, T.","Lee, S. H., Sharma, S., Zaheer, M., & Li, T. (2024). Efficient adaptive federated optimization. arXiv preprint arXiv:2410.18117.",FALSE
86,Yuanze Liu,"The content, structure, and history of English trait words",https://osf.io/7qkg8_v1?view_only=,,2025,"Liu, Y., Charlesworth, T., Koch, A., Luttrell, A., & Jackson, J. C.","Liu, Y., Charlesworth, T., Koch, A., Luttrell, A., & Jackson, J. C. (2025). The content, structure, and history of English trait words. OSF Preprints.",TRUE
87,Zhao Lyu,Inconsistency of cross-validation for structure learning in Gaussian graphical models,https://proceedings.mlr.press/v238/lyu24a.html,https://scholar.google.com/citations?hl=en&user=hE4BKS8AAAAJ&view_op=list_works&sortby=pubdate,2024,"Lyu, Z., Tai, W. M., Kolar, M., & Aragam, B.","Lyu, Z., Tai, W. M., Kolar, M., & Aragam, B. (2024). Inconsistency of cross-validation for structure learning in Gaussian graphical models. International Conference on Artificial Intelligence and Statistics, 3691–3699. PMLR.",TRUE
88,Ganghua Wang,Cer-Eval: Certifiable and Cost-Efficient Evaluation Framework for LLMs,https://arxiv.org/abs/2505.03814,https://scholar.google.com/citations?hl=en&user=GpbeNCsAAAAJ&view_op=list_works&sortby=pubdate,2025,"Wang, G., Chen, Z., Li, B., & Xu, H.","Wang, G., Chen, Z., Li, B., & Xu, H. (2025). Cer-eval: Certifiable and cost-efficient evaluation framework for llms. arXiv preprint arXiv:2505.03814.",FALSE
89,Anuj Apte,Deep Learning and Non-Invertible Symmetries in Gauge Theories,https://knowledge.uchicago.edu/record/15055?v=pdf,https://scholar.google.com/citations?hl=en&user=oX_oa18AAAAJ&view_op=list_works&sortby=pubdate,2025,"Apte, A.","Apte, A. (2025). Deep learning and non-invertible symmetries in gauge theories. University of Chicago.",TRUE
90,Mourad Heddaya,A Century of Inflation Narratives,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5259107,https://scholar.google.com/citations?hl=en&user=kp9aJigAAAAJ&view_op=list_works&sortby=pubdate,2025,"Heddaya, M., Tan, C., Voigt, R., Zeng, Q., & Zentefis, A.","Heddaya, M., Tan, C., Voigt, R., Zeng, Q., & Zentefis, A. (2025). A century of inflation narratives. SSRN, 5259107.",TRUE
91,Mourad Heddaya,Casesumm: a large-scale dataset for long-context summarization from us supreme court opinions,https://arxiv.org/abs/2501.00097,https://scholar.google.com/citations?hl=en&user=kp9aJigAAAAJ&view_op=list_works&sortby=pubdate,2024,"Heddaya, M., MacMillan, K., Malani, A., Mei, H., & Tan, C.","Heddaya, M., MacMillan, K., Malani, A., Mei, H., & Tan, C. (2024). Casesumm: A large-scale dataset for long-context summarization from US Supreme Court opinions. arXiv preprint arXiv:2501.00097.",FALSE
92,Mourad Heddaya,Causal Micro-Narratives,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5099137,https://scholar.google.com/citations?hl=en&user=kp9aJigAAAAJ&view_op=list_works&sortby=pubdate,2024,"Zentefis, A., Tan, C., Heddaya, M., Voigt, R., & Zeng, Q.","Zentefis, A., Tan, C., Heddaya, M., Voigt, R., & Zeng, Q. (2024). Causal micro-narratives. SSRN 5099137.",TRUE
93,Yongqiang Sun,"Can AI Weather Models Predict the 2024 Dubai Rainfall, a Regional Grey Swan?",https://ui.adsabs.harvard.edu/abs/2025AMS...10552238S/abstract,https://scholar.google.com/citations?hl=en&user=IoIjsH8AAAAJ&view_op=list_works&sortby=pubdate,2025,"Sun, Y. Q., Hassanzadeh, P., & Shaw, T. A.","Sun, Y. Q., Hassanzadeh, P., & Shaw, T. A. (2025). Can AI weather models predict the 2024 Dubai rainfall, a regional grey swan? 105th Annual AMS Meeting, 105, 452238.",TRUE
94,David Uminsky,Entailment Progressions: A Robust Approach to Evaluating Reasoning Within Larger Discourse,https://aclanthology.org/2025.nodalida-1.66/,https://scholar.google.com/citations?view_op=list_works&hl=en&hl=en&user=ei--1CoAAAAJ&sortby=pubdate,2025,"Shastry, R., Chiril, P., Charney, J., & Uminsky, D.","Shastry, R., Chiril, P., Charney, J., & Uminsky, D. (2025). Entailment progressions: A robust approach to evaluating reasoning within larger discourse. Proceedings of the Joint 25th Nordic Conference on Computational Linguistics and 11th Baltic Conference on Human Language Technologies (NoDaLiDa/Baltic-HLT 2025).",TRUE
95,Dang Nguyen,On the effectiveness and generalization of race representations for debiasing high-stakes decisions,https://arxiv.org/abs/2504.06303,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KGMaP18AAAAJ&sortby=pubdate&citation_for_view=KGMaP18AAAAJ:VL0QpB8kHFEC,2025,"Nguyen, D., & Tan, C.","Nguyen, D., & Tan, C. (2025). On the effectiveness and generalization of race representations for debiasing high-stakes decisions. Second Conference on Language Modeling.",FALSE
